Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,842,827,855,"1,033","1,355","1,732","1,006",504,349,392,221,222,277
Expenses+,755,743,753,883,"1,182","1,559","1,028",513,388,365,204,200,234
Operating Profit,87,84,102,149,173,173,-22,-9,-39,28,17,21,43
OPM %,10%,10%,12%,14%,13%,10%,-2%,-2%,-11%,7%,8%,10%,15%
Other Income+,27,41,15,15,5,6,29,-939,-120,-780,47,29,29
Interest,61,57,57,59,62,64,55,139,21,19,39,43,48
Depreciation,40,46,34,43,63,72,84,79,71,56,48,38,37
Profit before tax,13,22,26,63,53,43,-133,"-1,167",-252,-828,-24,-31,-14
Tax %,-26%,9%,28%,39%,43%,44%,-18%,0%,2%,1%,19%,-15%,
Net Profit+,16,20,19,39,34,18,-122,"-1,166",-266,-834,-28,-26,-11
EPS in Rs,1.70,2.94,3.31,7.07,6.13,3.53,-18.29,-198.15,-44.50,-127.81,-4.34,-3.96,-3.04
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
