Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,996","2,348","2,686","3,147","3,328","3,520","3,808"
Expenses+,"2,762","2,154","2,488","2,961","3,085","3,089","3,318"
Operating Profit,234,195,197,186,243,431,490
OPM %,8%,8%,7%,6%,7%,12%,13%
Other Income+,16,19,11,11,1,21,29
Interest,180,142,146,136,173,126,113
Depreciation,69,59,59,55,58,61,60
Profit before tax,0,13,4,6,13,266,346
Tax %,"-2,948%",80%,62%,73%,86%,27%,
Net Profit+,13,3,1,2,2,195,255
EPS in Rs,0.54,0.11,0.06,0.07,0.07,6.97,9.18
Dividend Payout %,0%,0%,0%,0%,0%,52%,
