Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,459","1,538","1,702","2,015","1,687","1,870","1,881"
Expenses+,"1,356","1,381","1,568","1,867","1,553","1,766","1,759"
Operating Profit,103,158,134,147,134,104,122
OPM %,7%,10%,8%,7%,8%,6%,6%
Other Income+,14,8,6,7,14,16,15
Interest,69,72,60,73,76,72,68
Depreciation,45,47,48,50,60,50,51
Profit before tax,3,46,32,32,12,-2,18
Tax %,-24%,41%,40%,38%,1%,"1,421%",
Net Profit+,4,27,19,20,12,-23,-13
EPS in Rs,0.97,6.47,4.55,4.68,2.93,-4.57,-5.82
Dividend Payout %,0%,0%,0%,0%,0%,0%,
