Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,153,203,225,189,194,233,240,237,286,418,503,553,587
Expenses+,115,156,176,153,150,174,179,172,216,329,402,463,499
Operating Profit,38,47,49,36,44,59,61,65,70,89,102,89,88
OPM %,25%,23%,22%,19%,23%,25%,26%,27%,25%,21%,20%,16%,15%
Other Income+,2,5,3,-2,4,3,3,3,4,8,7,4,4
Interest,11,12,9,11,12,10,20,17,18,22,24,24,25
Depreciation,15,25,30,39,40,41,51,49,51,52,59,63,64
Profit before tax,14,15,12,-15,-4,11,-6,2,4,22,25,6,2
Tax %,-64%,-68%,-75%,-68%,0%,10%,138%,98%,58%,38%,50%,5%,
Net Profit+,22,25,21,-5,-4,10,-15,0,2,13,13,6,3
EPS in Rs,1.81,1.48,1.23,-0.30,-0.21,0.58,-0.90,0.00,0.10,0.80,0.76,0.34,0.17
Dividend Payout %,0%,34%,0%,0%,0%,0%,0%,0%,0%,94%,131%,294%,
