Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,612","1,302","1,673","2,039","1,522","1,536","1,734","2,497","1,713","1,705","2,005","2,432","1,647"
Expenses+,"1,523","1,258","1,567","1,915","1,448","1,473","1,590","2,286","1,626","1,636","1,822","2,221","1,589"
Operating Profit,89,44,106,123,73,63,144,211,87,69,183,211,58
OPM %,6%,3%,6%,6%,5%,4%,8%,8%,5%,4%,9%,9%,4%
Other Income+,22,41,32,35,34,36,41,51,49,51,47,54,60
Interest,3,4,6,7,6,9,9,10,11,9,14,15,8
Depreciation,42,45,52,52,49,47,62,56,52,51,54,54,52
Profit before tax,67,36,80,99,52,42,114,196,73,59,162,196,58
Tax %,27%,26%,20%,22%,27%,29%,30%,26%,27%,25%,26%,26%,27%
Net Profit+,49,27,64,77,38,30,79,145,54,45,119,146,42
EPS in Rs,3.78,1.95,4.94,5.90,2.88,2.21,6.12,11.34,4.10,3.46,9.40,11.49,3.26
Raw PDF,,,,,,,,,,,,,
