Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,16,31,45,64,57,58,79,101,103,110
Expenses+,14,20,31,40,40,32,48,56,47,51
Operating Profit,1,11,14,24,16,26,31,45,56,60
OPM %,8%,36%,31%,38%,28%,45%,39%,45%,54%,54%
Other Income+,0,0,1,3,4,4,7,14,10,11
Interest,0,0,0,0,0,1,1,2,4,4
Depreciation,0,0,1,1,1,3,4,4,7,8
Profit before tax,1,11,14,26,19,26,33,53,55,58
Tax %,38%,29%,24%,16%,18%,18%,16%,22%,25%,
Net Profit+,1,8,11,22,16,21,27,41,45,48
EPS in Rs,7.20,3.69,5.20,10.61,7.59,10.14,13.12,19.98,21.53,22.90
Dividend Payout %,0%,0%,0%,0%,8%,7%,2%,0%,0%,
