Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"7,973","8,589","8,744","8,173","7,949","8,559","7,930","6,974","7,096","7,993","9,694","11,481","12,000"
Interest,"6,352","6,909","6,569","6,014","5,714","6,279","5,872","4,712","4,444","5,019","6,853","7,698","8,088"
Expenses+,"1,742","1,915","2,110","2,536","3,347","3,981","4,423","6,468","2,287","2,145","2,975","3,869","4,272"
Financing Profit,-121,-235,66,-377,"-1,112","-1,702","-2,366","-4,206",364,828,-134,-85,-361
Financing Margin %,-2%,-3%,1%,-5%,-14%,-20%,-30%,-60%,5%,10%,-1%,-1%,-3%
Other Income+,427,429,478,578,581,828,897,904,959,940,"1,221","1,568","1,858"
Depreciation,60,46,46,0,64,-15,54,102,137,148,150,145,0
Profit before tax,246,147,498,201,-595,-859,"-1,522","-3,404","1,187","1,620",937,"1,338","1,497"
Tax %,-22%,18%,33%,0%,25%,-37%,-35%,-20%,12%,19%,36%,24%,
Net Profit+,301,121,336,201,-744,-543,-991,"-2,733","1,039","1,313",595,"1,016","1,158"
EPS in Rs,10.92,3.03,8.39,5.02,-13.17,-9.62,-14.13,-6.74,1.53,1.94,0.88,1.43,1.66
Dividend Payout %,20%,20%,20%,0%,0%,0%,0%,0%,20%,25%,23%,5%,
