Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,141.67,68.22,97.71,145.78,133.96,164.13,173.05,190.44,215.88,276.32,300.17,196.69,122.10
Expenses+,114.50,69.76,104.20,131.80,114.53,131.54,138.54,150.06,161.04,221.92,249.03,162.50,138.06
Operating Profit,27.17,-1.54,-6.49,13.98,19.43,32.59,34.51,40.38,54.84,54.40,51.14,34.19,-15.96
OPM %,19.18%,-2.26%,-6.64%,9.59%,14.50%,19.86%,19.94%,21.20%,25.40%,19.69%,17.04%,17.38%,-13.07%
Other Income+,8.89,3.43,17.13,2.39,6.12,2.50,3.24,2.71,3.10,8.04,4.68,0.72,29.89
Interest,1.16,1.86,0.09,0.85,1.75,1.89,2.84,2.09,3.41,3.53,4.98,3.54,8.24
Depreciation,5.39,5.23,5.14,5.28,5.14,5.20,5.08,4.69,4.23,3.66,3.16,3.17,7.98
Profit before tax,29.51,-5.20,5.41,10.24,18.66,28.00,29.83,36.31,50.30,55.25,47.68,28.20,-2.29
Tax %,26.80%,-18.65%,45.10%,23.73%,28.67%,46.54%,33.83%,26.52%,26.98%,26.66%,33.28%,31.52%,171.18%
Net Profit+,21.60,-4.22,2.97,7.81,13.31,14.97,19.74,26.69,36.73,40.51,31.82,19.30,-6.22
EPS in Rs,1.09,-0.20,0.17,0.39,0.67,0.76,1.01,1.37,1.87,2.06,1.66,1.04,-0.08
Raw PDF,,,,,,,,,,,,,
