Metric,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,550,346,340,463,390,531,503,548,576,657,659,698
Expenses+,520,316,290,446,352,482,447,475,526,586,576,609
Operating Profit,30,30,50,17,38,50,56,73,50,71,83,89
OPM %,6%,9%,15%,4%,10%,9%,11%,13%,9%,11%,13%,13%
Other Income+,7,6,9,37,14,11,4,10,11,7,6,8
Interest,14,17,8,11,8,18,11,12,14,17,18,18
Depreciation,14,9,12,13,12,15,15,15,16,23,22,22
Profit before tax,9,10,38,29,32,28,34,56,31,39,49,57
Tax %,17%,-17%,26%,35%,24%,34%,23%,26%,26%,28%,27%,
Net Profit+,7,12,28,19,24,19,26,41,23,28,36,42
EPS in Rs,0.81,1.27,3.07,2.05,2.63,2.01,2.85,4.51,2.52,3.05,3.86,4.53
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,
