Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,151,199,224,331,10,25,33,29,67,60,57
Expenses+,146,191,212,321,7,6,8,10,11,13,14
Operating Profit,4,8,12,10,2,18,25,19,56,47,44
OPM %,3%,4%,5%,3%,25%,74%,75%,65%,83%,78%,76%
Other Income+,0,0,0,0,0,0,0,0,0,-1,5
Interest,1,2,1,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,3,6,11,9,2,18,25,19,55,45,48
Tax %,20%,20%,18%,23%,28%,29%,24%,26%,23%,24%,
Net Profit+,3,5,9,7,1,13,19,14,43,34,36
EPS in Rs,2.43,4.49,8.18,6.62,1.20,12.08,17.69,12.98,40.06,32.05,33.88
Dividend Payout %,12%,13%,7%,9%,50%,8%,11%,23%,17%,50%,
