Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,817,"1,180","1,415","1,568","1,280","1,813","2,202","2,020","2,407","2,520"
Expenses+,742,"1,073","1,240","1,402","1,189","1,690","2,016","1,859","2,227","2,314"
Operating Profit,75,107,175,166,91,123,185,162,180,206
OPM %,9%,9%,12%,11%,7%,7%,8%,8%,7%,8%
Other Income+,52,52,79,81,88,78,86,98,69,80
Interest,44,53,62,77,63,78,97,91,104,102
Depreciation,19,21,21,23,26,24,22,24,27,29
Profit before tax,65,84,170,147,90,99,152,144,117,155
Tax %,-9%,2%,20%,39%,25%,24%,22%,25%,24%,
Net Profit+,70,83,136,90,67,75,118,108,89,117
EPS in Rs,20.32,23.84,39.16,25.96,19.38,21.60,34.05,31.19,25.76,33.64
Dividend Payout %,0%,6%,5%,8%,5%,7%,9%,10%,16%,
