Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"1,266","1,388","1,575","1,728","2,043","2,587","3,108","3,376"
Interest,732,793,816,761,799,987,"1,174","1,285"
Expenses+,276,350,316,387,507,619,736,798
Financing Profit,258,245,444,580,737,981,"1,197","1,292"
Financing Margin %,20%,18%,28%,34%,36%,38%,39%,38%
Other Income+,-14,-2,-0,0,-25,-0,1,7
Depreciation,9,12,11,13,16,21,25,27
Profit before tax,235,231,433,567,696,960,"1,173","1,271"
Tax %,31%,18%,21%,22%,22%,22%,22%,
Net Profit+,162,189,340,445,545,750,912,988
EPS in Rs,64.37,47.99,8.62,11.27,13.80,18.99,21.14,22.88
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
