Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,751","1,931","2,064","2,667","3,416","3,851","3,471","3,264","4,141","5,128","5,506","6,105","6,474"
Expenses+,"1,699","1,874","2,012","2,590","3,296","3,700","3,313","3,129","3,956","4,868","5,275","5,820","6,161"
Operating Profit,51,57,52,76,120,152,158,135,184,260,231,284,313
OPM %,3%,3%,3%,3%,4%,4%,5%,4%,4%,5%,4%,5%,5%
Other Income+,6,9,13,10,6,7,14,14,13,16,20,15,16
Interest,0,0,1,3,4,3,18,20,30,52,68,81,87
Depreciation,3,6,8,15,20,22,73,90,142,190,209,226,254
Profit before tax,54,59,56,68,102,133,81,39,26,35,-26,-8,-11
Tax %,33%,35%,36%,32%,36%,35%,32%,26%,43%,21%,97%,292%,
Net Profit+,37,39,36,46,65,86,55,29,15,25,-53,-30,-30
EPS in Rs,4.51,4.71,4.40,4.88,6.54,8.72,5.60,3.05,1.78,2.65,-5.53,-3.61,-3.72
Dividend Payout %,-0%,-0%,-0%,-0%,17%,15%,19%,60%,82%,68%,-33%,-50%,
