Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,56.31,54.28,48.84,52.16,39.72,56.68,40.13,38.53,71.57,78.43,101.80,86.72,91.92
Expenses+,49.75,53.43,53.92,54.45,41.20,56.66,39.85,36.13,67.38,73.18,96.48,86.79,90.82
Operating Profit,6.56,0.85,-5.08,-2.29,-1.48,0.02,0.28,2.40,4.19,5.25,5.32,-0.07,1.10
OPM %,11.65%,1.57%,-10.40%,-4.39%,-3.73%,0.04%,0.70%,6.23%,5.85%,6.69%,5.23%,-0.08%,1.20%
Other Income+,1.21,0.73,-2.87,1.00,10.60,3.97,-21.53,0.26,0.45,6.20,1.07,-7.98,-7.83
Interest,5.12,5.01,1.93,1.91,2.00,1.96,1.82,1.99,2.03,1.31,0.95,0.79,0.80
Depreciation,5.07,5.15,4.16,3.26,4.03,2.82,0.85,0.24,0.38,0.39,0.42,0.27,0.29
Profit before tax,-2.42,-8.58,-14.04,-6.46,3.09,-0.79,-23.92,0.43,2.23,9.75,5.02,-9.11,-7.82
Tax %,-50.83%,-18.76%,-8.33%,-27.09%,15.21%,254.43%,15.22%,79.07%,32.29%,48.92%,32.27%,6.70%,
Net Profit+,-1.18,-6.96,-12.86,-4.70,2.62,-2.80,-27.55,0.08,1.52,4.99,3.41,-9.73,-8.48
EPS in Rs,-0.80,-4.73,-8.75,-2.90,1.46,-1.65,-15.31,-0.04,0.42,1.84,0.64,-5.12,-3.86
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
