Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,7,20,61,108,195,298,338,395,360,311
Expenses+,22,51,78,99,150,251,252,284,232,212
Operating Profit,-15,-32,-17,10,45,47,87,111,127,99
OPM %,-199%,-161%,-28%,9%,23%,16%,26%,28%,35%,32%
Other Income+,0,0,0,0,0,0,1,0,0,0
Interest,1,1,7,15,21,23,21,29,24,26
Depreciation,0,1,1,4,5,5,9,10,12,11
Profit before tax,-16,-33,-25,-10,20,18,58,72,91,63
Tax %,-29%,-24%,-25%,-18%,26%,26%,25%,25%,25%,
Net Profit+,-12,-25,-19,-8,15,14,44,54,68,47
EPS in Rs,-3.30,-9.92,-7.43,-3.10,5.76,4.67,14.22,17.45,21.84,15.13
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
