Metric,Mar 20188m,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,268,259,249,324,349,415,443,466
Expenses+,0,238,235,223,271,334,369,385,421
Operating Profit,0,30,24,26,53,15,46,58,46
OPM %,,11%,9%,11%,16%,4%,11%,13%,10%
Other Income+,0,1,2,5,9,5,3,7,7
Interest,2,9,12,12,12,15,18,17,14
Depreciation,0,38,53,52,16,17,18,11,8
Profit before tax,-2,-17,-40,-33,34,-12,13,37,31
Tax %,0%,-29%,-16%,32%,37%,4%,55%,35%,
Net Profit+,-5,-12,-33,-44,21,-13,6,24,20
EPS in Rs,,,-5.67,-7.49,3.62,-2.21,0.99,4.18,3.44
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
