Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,429,393,410,411,442,415,428,445,464,433,459,484,490
Expenses+,376,338,356,355,380,367,355,382,395,378,362,413,409
Operating Profit,54,55,53,56,63,48,72,63,69,55,97,71,82
OPM %,12%,14%,13%,14%,14%,11%,17%,14%,15%,13%,21%,15%,17%
Other Income+,4,4,8,7,6,10,9,11,11,10,12,13,12
Interest,1,1,1,1,1,1,1,1,1,1,2,1,2
Depreciation,21,21,20,21,21,21,22,21,22,22,22,22,22
Profit before tax,35,37,40,41,47,35,59,51,57,42,85,61,70
Tax %,26%,30%,15%,24%,29%,26%,26%,27%,29%,27%,27%,26%,27%
Net Profit+,26,26,34,31,33,26,43,37,41,31,61,45,51
EPS in Rs,4.45,4.40,5.70,5.38,5.78,4.40,7.25,6.38,6.87,5.20,10.68,7.77,8.85
Raw PDF,,,,,,,,,,,,,
