Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"6,349","5,865","3,413","1,854","1,987","2,197","2,159","2,464","3,053","3,137","3,019","3,510","3,649"
Expenses+,"6,294","5,763","3,360","1,821","1,970","2,163","2,121","2,424","3,013","3,081","2,973","3,474","3,607"
Operating Profit,55,102,53,33,17,33,38,40,40,56,46,36,42
OPM %,1%,2%,2%,2%,1%,2%,2%,2%,1%,2%,2%,1%,1%
Other Income+,83,50,20,11,33,23,23,12,21,10,0,28,26
Interest,90,108,42,32,33,32,29,20,18,27,33,33,34
Depreciation,37,33,14,4,5,5,6,5,6,8,10,12,12
Profit before tax,10,12,17,8,12,19,27,27,37,31,3,20,22
Tax %,65%,24%,34%,68%,27%,35%,26%,24%,28%,23%,32%,25%,
Net Profit+,4,9,11,2,9,12,20,20,27,24,2,15,16
EPS in Rs,0.27,0.70,0.85,0.18,0.69,0.92,1.50,2.07,2.68,2.44,0.18,1.50,1.64
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
