Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,401,586,637,498,531,741,741,527,589,800,827,574,598
Expenses+,317,377,433,343,388,417,437,392,414,443,477,414,444
Operating Profit,84,209,204,155,143,324,304,135,175,357,351,160,154
OPM %,21%,36%,32%,31%,27%,44%,41%,26%,30%,45%,42%,28%,26%
Other Income+,-20,27,-16,28,26,18,69,37,40,48,43,-66,53
Interest,8,7,12,6,6,5,2,5,5,6,6,6,6
Depreciation,32,31,32,32,33,34,33,33,34,34,33,33,35
Profit before tax,25,197,145,145,130,304,338,134,175,364,355,54,166
Tax %,11%,25%,36%,27%,28%,24%,27%,28%,24%,23%,26%,32%,30%
Net Profit+,22,149,92,106,94,230,248,97,133,279,262,37,117
EPS in Rs,0.39,2.28,1.35,1.66,1.49,3.51,3.56,1.47,2.08,4.23,4.04,0.54,1.82
Raw PDF,,,,,,,,,,,,,
