Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"7,967","6,765","6,753","7,076","7,132","7,199","7,193","7,383","7,465","7,547","7,727","8,058","8,188"
Expenses+,"5,155","5,602","3,320","3,596","3,711","3,615","3,122","2,879","2,602",589,"3,332","3,668","3,616"
Operating Profit,"2,811","1,163","3,433","3,480","3,422","3,584","4,072","4,504","4,864","6,958","4,395","4,390","4,572"
OPM %,35%,17%,51%,49%,48%,50%,57%,61%,65%,92%,57%,54%,56%
Other Income+,63,-403,116,56,97,99,108,56,114,84,92,85,83
Interest,392,354,336,352,246,11,127,408,418,255,431,437,376
Depreciation,"1,307","1,358","1,320","1,374","1,526","1,596","1,564","1,560","1,580","1,568","1,693","1,704","1,801"
Profit before tax,"1,175",-952,"1,893","1,810","1,747","2,076","2,489","2,592","2,980","5,219","2,363","2,334","2,478"
Tax %,26%,-26%,26%,26%,26%,26%,26%,26%,25%,23%,25%,26%,26%
Net Profit+,872,-708,"1,399","1,348","1,295","1,540","1,853","1,926","2,224","4,003","1,779","1,737","1,839"
EPS in Rs,3.23,-2.63,5.19,5.00,4.80,5.72,6.88,7.15,8.25,14.85,6.60,6.44,6.83
Raw PDF,,,,,,,,,,,,,
