Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,7,8,18,28,41,58,63,54,50,56,66,82,87
Expenses+,3,3,8,12,15,17,21,19,18,24,25,34,37
Operating Profit,4,5,10,17,26,41,42,35,32,32,41,48,50
OPM %,56%,64%,53%,59%,65%,70%,66%,64%,64%,57%,63%,58%,58%
Other Income+,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest,2,3,6,11,18,28,31,24,20,18,23,29,30
Depreciation,0,0,0,0,0,0,0,0,0,0,0,1,1
Profit before tax,2,2,4,6,8,13,10,10,12,14,18,18,19
Tax %,34%,34%,32%,31%,31%,24%,27%,27%,28%,26%,29%,26%,
Net Profit+,1,1,3,4,6,10,8,7,9,10,13,13,14
EPS in Rs,0.17,0.20,0.45,0.39,0.56,0.96,0.63,0.62,0.73,0.86,1.08,1.12,1.18
Dividend Payout %,0%,0%,0%,13%,18%,10%,0%,8%,7%,12%,9%,9%,
