Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,464","2,674","3,055","3,626","3,379","3,296","4,022","5,020","5,898","6,349","6,471"
Expenses+,"2,187","2,390","2,790","3,251","3,085","2,909","3,610","4,286","4,871","5,164","5,280"
Operating Profit,277,283,265,376,295,387,412,734,"1,027","1,185","1,191"
OPM %,11%,11%,9%,10%,9%,12%,10%,15%,17%,19%,18%
Other Income+,49,83,72,63,52,17,27,29,16,90,106
Interest,9,3,12,13,14,50,106,210,329,483,521
Depreciation,111,111,123,94,87,84,101,105,119,140,149
Profit before tax,205,253,203,331,245,270,232,449,595,652,627
Tax %,19%,31%,33%,34%,23%,27%,26%,26%,26%,27%,
Net Profit+,165,174,136,220,188,197,171,332,440,476,458
EPS in Rs,11.44,12.02,9.66,15.16,12.81,13.48,12.07,22.96,30.48,33.69,32.50
Dividend Payout %,44%,42%,52%,33%,31%,30%,33%,22%,20%,19%,
