Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025
Sales+,156,325,415,557,633,762,891,"1,371","1,476"
Expenses+,146,296,368,495,541,653,748,"1,313","1,418"
Operating Profit,9,30,46,62,92,109,143,58,58
OPM %,6%,9%,11%,11%,14%,14%,16%,4%,4%
Other Income+,36,56,14,135,28,34,19,50,34
Interest,0,2,4,8,7,6,8,29,32
Depreciation,4,18,21,32,37,45,54,132,135
Profit before tax,41,65,36,156,76,92,101,-53,-74
Tax %,11%,23%,18%,12%,35%,35%,30%,-5%,17%
Net Profit+,39,51,29,137,49,60,71,-50,-87
EPS in Rs,3.27,4.12,2.68,13.93,4.89,5.90,5.34,-3.59,-5.25
Dividend Payout %,15%,15%,23%,5%,13%,11%,0%,0%,0%
