Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,405,391,349,280,238,216,191,100,127,175,146,174,176
Expenses+,363,369,344,289,260,227,182,122,143,180,163,193,192
Operating Profit,42,22,5,-8,-22,-11,9,-22,-17,-5,-18,-19,-16
OPM %,10%,6%,2%,-3%,-9%,-5%,5%,-22%,-13%,-3%,-12%,-11%,-9%
Other Income+,3,6,3,21,11,3,12,25,26,46,8,13,10
Interest,5,5,5,5,5,6,15,10,7,8,8,10,8
Depreciation,10,10,11,12,11,11,35,23,19,18,19,20,21
Profit before tax,31,13,-8,-4,-26,-25,-30,-30,-16,16,-36,-36,-35
Tax %,28%,29%,-2%,3%,-10%,7%,-4%,-1%,-1%,-3%,0%,3%,
Net Profit+,22,9,-8,-4,-23,-27,-29,-29,-16,16,-36,-37,-37
EPS in Rs,11.35,4.62,-4.21,-2.24,-12.03,-12.58,-12.89,-11.87,-6.61,6.15,-13.99,-14.31,-14.14
Dividend Payout %,40%,67%,-24%,-45%,-8%,-8%,0%,0%,0%,0%,0%,0%,
