Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,482","1,513","1,611","1,946","2,336","1,943","1,864","2,324","2,909","3,521","3,884","4,348"
Expenses+,"1,343","1,372","1,466","1,743","2,091","1,757","1,686","2,130","2,663","3,180","3,501","3,949"
Operating Profit,139,141,146,203,245,187,177,193,246,341,383,399
OPM %,9%,9%,9%,10%,10%,10%,10%,8%,8%,10%,10%,9%
Other Income+,6,1,7,4,6,10,11,6,11,14,29,75
Interest,41,42,43,43,24,20,16,18,36,52,57,63
Depreciation,52,55,58,68,81,98,94,100,122,154,171,182
Profit before tax,51,45,52,97,145,78,78,81,100,150,185,229
Tax %,25%,25%,20%,32%,34%,27%,26%,31%,27%,27%,23%,
Net Profit+,38,34,42,66,96,57,58,56,74,110,142,174
EPS in Rs,7.48,6.54,8.07,10.80,15.81,9.45,9.59,9.26,12.12,18.24,23.53,28.90
Dividend Payout %,25%,54%,25%,19%,16%,21%,23%,24%,21%,18%,15%,
