Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales+,16,14,15,24,12,9,53,27,8,16,21,210,26
Expenses+,1,1,1,2,1,1,1,1,2,115,1,1,13
Operating Profit,15,13,14,23,11,8,52,25,6,-99,21,209,13
OPM %,93%,94%,94%,93%,90%,88%,98%,96%,80%,-616%,97%,100%,49%
Other Income+,0,-0,-0,-1,-12,-2,0,0,-47,-64,107,242,443
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,15,13,14,21,-1,6,52,25,-41,-164,128,451,456
Tax %,14%,-7%,11%,10%,"2,412%",9%,5%,33%,5%,2%,4%,2%,
Net Profit+,77,172,50,30,1,53,116,71,-1,-167,123,443,450
EPS in Rs,23.82,53.79,15.45,9.23,0.85,16.46,35.88,21.40,0.48,-50.19,37.81,131.38,132.99
Dividend Payout %,2%,1%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
