Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,121,128,152,180,269,517,515,257,248,324,356,372,416
Expenses+,109,97,108,121,166,359,346,214,197,293,260,268,301
Operating Profit,12,31,43,59,103,158,169,43,51,31,97,103,115
OPM %,10%,24%,29%,33%,38%,31%,33%,17%,20%,10%,27%,28%,28%
Other Income+,3,4,2,4,3,32,10,56,31,-408,146,4,1
Interest,10,15,20,21,19,47,59,51,44,44,42,39,45
Depreciation,7,9,10,10,11,28,64,50,37,32,24,36,41
Profit before tax,-2,10,15,32,76,115,56,-2,1,-452,176,33,30
Tax %,0%,0%,0%,-3%,35%,27%,55%,947%,"1,665%",2%,12%,61%,
Net Profit+,-2,10,15,34,49,83,25,-21,-13,-462,156,13,9
EPS in Rs,-0.06,0.31,0.47,1.04,1.51,2.33,1.34,-0.27,-0.08,-13.60,4.99,0.39,0.28
Dividend Payout %,0%,0%,0%,10%,7%,4%,0%,0%,0%,0%,0%,0%,
