Metric,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 202315m,Mar 2024,Mar 2025,TTM
Sales+,"1,825","2,033","2,192","1,762","1,471","2,112","3,136","2,769","2,485","2,413"
Expenses+,"1,539","1,705","1,866","1,347","1,096","1,564","2,371","2,066","1,720","1,532"
Operating Profit,287,328,326,415,375,548,765,702,765,881
OPM %,16%,16%,15%,24%,25%,26%,24%,25%,31%,37%
Other Income+,40,8,15,862,36,335,113,85,75,47
Interest,116,116,103,86,6,3,6,7,13,14
Depreciation,195,206,199,177,176,181,253,201,214,223
Profit before tax,16,13,39,"1,013",229,698,618,579,614,691
Tax %,-20%,-21%,35%,28%,34%,27%,13%,25%,26%,
Net Profit+,19,16,26,727,151,507,538,434,455,513
EPS in Rs,2.23,1.90,3.01,85.27,17.72,59.47,63.09,50.90,53.33,60.14
Dividend Payout %,34%,53%,50%,12%,17%,23%,19%,24%,22%,
