Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,60,125,116,83,82,80,39,38,44,52,74,112,122
Expenses+,56,119,109,76,74,74,36,35,41,48,68,98,107
Operating Profit,4,6,7,8,8,6,3,2,3,3,5,14,15
OPM %,7%,5%,6%,9%,10%,7%,8%,6%,6%,6%,7%,12%,13%
Other Income+,0,1,1,1,1,1,1,1,1,1,3,1,1
Interest,3,3,3,3,4,4,3,3,3,3,2,3,4
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,2,4,4,5,5,3,1,0,1,1,7,12,12
Tax %,37%,33%,35%,35%,32%,26%,28%,-94%,9%,34%,29%,21%,
Net Profit+,1,2,3,3,3,2,1,0,1,1,5,9,10
EPS in Rs,1.46,3.34,2.52,3.13,3.31,1.93,0.53,0.31,0.50,0.78,4.66,8.53,9.08
Dividend Payout %,21%,6%,8%,6%,6%,0%,0%,0%,0%,0%,0%,0%,
