Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,101,79,62,56,77,93,90,49,77,118,166,258,231
Expenses+,20,22,24,21,30,29,34,37,50,67,93,122,123
Operating Profit,82,57,38,35,47,64,55,12,27,51,72,136,109
OPM %,81%,72%,61%,63%,61%,69%,62%,24%,35%,43%,44%,53%,47%
Other Income+,13,12,10,8,8,11,-1,10,8,12,11,15,13
Interest,0,0,2,0,0,0,0,0,0,0,0,1,1
Depreciation,26,24,26,28,21,21,22,22,22,22,37,51,46
Profit before tax,68,44,20,15,34,54,32,-1,13,40,46,98,75
Tax %,35%,36%,35%,40%,34%,4%,30%,-611%,21%,23%,29%,24%,
Net Profit+,45,28,13,9,22,52,22,6,10,31,33,74,56
EPS in Rs,27.16,17.26,7.87,5.38,13.45,31.41,14.76,4.11,6.53,20.30,21.54,48.67,32.63
Dividend Payout %,18%,29%,64%,93%,37%,15%,34%,122%,77%,0%,0%,0%,
