Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,73,65,68,73,84,72,83,79,105,89,101,114,131
Expenses+,54,51,55,56,62,59,66,65,86,73,82,92,104
Operating Profit,19,14,13,17,21,14,16,14,19,15,19,23,27
OPM %,26%,22%,19%,24%,25%,19%,20%,18%,18%,17%,19%,20%,21%
Other Income+,2,1,1,1,1,2,2,1,1,2,1,0,1
Interest,0,0,0,0,0,0,0,0,0,0,0,1,1
Depreciation,1,1,1,1,2,2,2,2,2,2,2,2,3
Profit before tax,20,14,13,18,21,14,17,14,18,16,18,19,24
Tax %,26%,26%,27%,27%,26%,24%,26%,27%,26%,26%,22%,26%,26%
Net Profit+,14,11,9,13,16,11,13,10,13,11,14,14,18
EPS in Rs,2.63,1.92,1.73,2.35,2.83,1.92,2.28,1.86,2.42,2.09,2.57,2.59,3.19
Raw PDF,,,,,,,,,,,,,
