Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,184","1,078","1,251","1,212","1,284","1,210","1,271","1,166","1,176","1,125","1,277","1,266","1,264"
Expenses+,"1,127","1,033","1,181","1,153","1,236","1,150","1,174","1,086","1,093","1,040","1,174","1,172","1,171"
Operating Profit,57,45,70,58,48,60,97,79,83,85,103,94,93
OPM %,5%,4%,6%,5%,4%,5%,8%,7%,7%,8%,8%,7%,7%
Other Income+,1,15,6,4,7,2,5,4,2,3,3,4,7
Interest,26,27,30,31,30,30,31,29,31,31,30,31,30
Depreciation,19,18,19,20,21,21,22,23,23,24,24,26,27
Profit before tax,14,14,26,11,3,11,50,31,32,33,52,41,42
Tax %,25%,26%,17%,21%,-12%,19%,24%,25%,25%,24%,25%,25%,25%
Net Profit+,10,11,21,9,3,9,38,24,24,25,39,31,32
EPS in Rs,4.72,4.98,9.28,4.07,1.78,4.14,15.76,9.66,9.82,10.25,15.65,12.23,12.68
Raw PDF,,,,,,,,,,,,,
