Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,226,324,391,365,335,459,393,295,650,725,687,925,776
Expenses+,178,239,256,234,240,315,262,212,473,553,477,598,516
Operating Profit,48,85,134,131,95,144,132,83,176,171,211,327,260
OPM %,21%,26%,34%,36%,28%,31%,33%,28%,27%,24%,31%,35%,34%
Other Income+,9,15,-12,10,6,9,5,6,7,9,8,21,22
Interest,33,34,38,33,30,27,23,22,42,49,40,38,36
Depreciation,20,23,18,17,20,26,23,21,39,40,43,44,47
Profit before tax,3,43,66,90,51,101,91,45,102,91,136,266,199
Tax %,-325%,28%,22%,22%,17%,20%,22%,37%,23%,28%,36%,29%,
Net Profit+,12,31,51,70,42,81,71,28,78,66,87,188,144
EPS in Rs,3.77,10.12,16.52,22.66,13.62,26.02,22.81,9.12,25.25,21.23,28.18,60.49,46.48
Dividend Payout %,11%,6%,12%,3%,4%,2%,3%,7%,2%,3%,2%,1%,
