Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,211",849,"1,269",686,"2,222","2,004","1,821"
Expenses+,"1,075",746,"1,092",582,"2,113","1,800","1,709"
Operating Profit,136,102,178,104,110,204,112
OPM %,11%,12%,14%,15%,5%,10%,6%
Other Income+,57,329,34,44,82,117,116
Interest,128,140,23,36,40,51,48
Depreciation,2,2,3,5,7,13,16
Profit before tax,63,290,184,108,144,257,164
Tax %,77%,20%,26%,26%,23%,27%,
Net Profit+,14,232,136,80,111,188,123
EPS in Rs,2.20,31.04,13.96,7.20,9.85,13.64,8.17
Dividend Payout %,0%,0%,0%,0%,0%,11%,
