Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,742","2,373","1,708","3,083","3,209","4,813","5,133","5,543"
Expenses+,"2,720","2,326","1,608","2,959","3,052","4,677","5,027","5,443"
Operating Profit,23,47,99,124,158,137,106,100
OPM %,1%,2%,6%,4%,5%,3%,2%,2%
Other Income+,42,44,13,56,47,49,81,83
Interest,6,19,6,10,13,17,27,28
Depreciation,10,10,8,11,18,35,35,34
Profit before tax,49,62,98,159,174,133,126,121
Tax %,36%,26%,26%,27%,29%,24%,30%,
Net Profit+,31,46,72,116,123,101,88,88
EPS in Rs,8.36,12.31,19.36,2.42,2.53,2.01,1.73,1.73
Dividend Payout %,0%,0%,0%,0%,0%,15%,17%,
