Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,491,474,570,591,528,513,656,776,803,880,915
Expenses+,361,347,420,462,424,391,531,637,644,689,722
Operating Profit,131,126,150,129,104,122,126,139,159,191,193
OPM %,27%,27%,26%,22%,20%,24%,19%,18%,20%,22%,21%
Other Income+,6,11,13,22,20,20,20,18,32,41,47
Interest,3,1,1,1,2,4,2,2,3,2,1
Depreciation,16,17,17,18,18,18,20,22,29,29,29
Profit before tax,117,120,145,132,104,120,123,132,159,201,210
Tax %,34%,32%,33%,32%,23%,25%,23%,21%,23%,26%,
Net Profit+,77,82,97,90,80,90,94,104,122,149,154
EPS in Rs,16.68,17.81,21.38,19.76,17.60,20.13,21.17,23.71,27.86,34.36,35.36
Dividend Payout %,21%,6%,7%,16%,23%,10%,9%,8%,11%,15%,
