Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,489,610,605,499,134,244,118,101,116,154
Expenses+,625,606,625,552,133,241,112,94,113,151
Operating Profit,-136,4,-21,-53,1,2,6,7,3,3
OPM %,-28%,1%,-3%,-11%,1%,1%,5%,7%,3%,2%
Other Income+,215,27,12,8,17,21,4,-1,2,1
Interest,44,12,13,11,11,7,4,1,1,1
Depreciation,1,1,1,1,1,1,1,1,1,0
Profit before tax,35,17,-23,-57,6,16,6,4,4,3
Tax %,-3%,21%,-33%,-34%,28%,36%,12%,93%,17%,
Net Profit+,36,14,-15,-38,4,10,5,0,3,2
EPS in Rs,12.89,4.98,-5.47,-13.61,1.62,3.61,1.83,0.11,1.12,0.80
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
