Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0.00,0.00,24.31,25.46,34.51,18.89,62.12,81.13,36.83,19.72,34.29,27.39,23.38
Expenses+,-0.15,-0.96,23.04,24.28,27.02,8.91,53.77,78.54,46.74,18.75,32.25,24.11,20.63
Operating Profit,0.15,0.96,1.27,1.18,7.49,9.98,8.35,2.59,-9.91,0.97,2.04,3.28,2.75
OPM %,,,5.22%,4.63%,21.70%,52.83%,13.44%,3.19%,-26.91%,4.92%,5.95%,11.98%,11.76%
Other Income+,0.01,0.01,0.02,0.26,0.47,0.62,0.11,0.14,0.06,0.03,0.35,0.40,0.44
Interest,0.09,0.89,0.47,0.41,5.54,7.99,6.47,1.99,0.45,0.21,0.57,1.13,1.14
Depreciation,0.02,0.08,0.09,0.34,0.82,0.76,0.75,0.73,0.71,0.71,0.68,0.58,0.55
Profit before tax,0.05,0.00,0.73,0.69,1.60,1.85,1.24,0.01,-11.01,0.08,1.14,1.97,1.50
Tax %,40.00%,,30.14%,47.83%,30.00%,29.19%,33.87%,-100.00%,-0.09%,-37.50%,-2.63%,-1.52%,
Net Profit+,0.02,0.02,0.51,0.37,1.12,1.32,0.82,0.02,-11.00,0.11,1.18,1.99,1.51
EPS in Rs,20.00,20.00,1.28,0.49,1.47,1.08,0.33,0.01,-4.41,0.04,0.47,0.80,0.60
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
