Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,13,70,28,9,12,20,33,6,15,23,20
Expenses+,4,2,3,3,6,2,3,4,4,6,5
Operating Profit,9,68,25,6,7,18,30,2,11,17,14
OPM %,72%,97%,89%,68%,53%,89%,91%,26%,71%,73%,73%
Other Income+,151,242,157,196,155,116,429,223,184,256,248
Interest,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,160,310,181,202,161,133,459,225,194,273,262
Tax %,1%,2%,1%,0%,1%,3%,7%,-2%,5%,5%,
Net Profit+,159,303,179,202,160,130,429,228,185,258,247
EPS in Rs,496.88,950.05,559.83,632.40,500.42,405.80,"1,344.45",715.74,579.29,808.40,775.34
Dividend Payout %,1%,1%,1%,1%,0%,1%,0%,1%,1%,1%,
