Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0.00,28.70,33.47,32.09,31.87,34.81,34.41,41.93,35.68,38.82,36.62
Expenses+,0.04,20.80,20.37,22.43,22.47,22.84,26.00,29.74,28.73,31.37,30.98
Operating Profit,-0.04,7.90,13.10,9.66,9.40,11.97,8.41,12.19,6.95,7.45,5.64
OPM %,,27.53%,39.14%,30.10%,29.49%,34.39%,24.44%,29.07%,19.48%,19.19%,15.40%
Other Income+,0.00,0.11,0.19,0.32,0.12,0.51,1.61,1.38,-0.25,-0.73,1.32
Interest,0.00,0.18,0.82,0.51,0.16,0.08,0.20,0.17,0.01,0.01,0.01
Depreciation,0.00,1.23,1.25,0.73,0.65,0.70,0.74,0.73,0.78,1.04,1.01
Profit before tax,-0.04,6.60,11.22,8.74,8.71,11.70,9.08,12.67,5.91,5.67,5.94
Tax %,0.00%,11.36%,17.74%,13.96%,18.03%,16.32%,11.89%,23.05%,41.12%,10.76%,
Net Profit+,-0.04,5.85,9.23,7.52,7.14,9.79,7.99,9.75,3.48,5.06,5.34
EPS in Rs,,5.85,9.23,7.52,7.14,9.79,7.99,9.75,3.48,5.06,5.34
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
