Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales+,758,801,916,565,"1,041","1,355","1,368","1,345"
Expenses+,526,527,522,322,545,684,709,694
Operating Profit,232,274,394,243,496,671,658,652
OPM %,31%,34%,43%,43%,48%,50%,48%,48%
Other Income+,11,19,32,60,50,40,70,80
Interest,6,4,26,26,28,31,44,52
Depreciation,10,9,89,96,94,104,135,147
Profit before tax,226,280,312,182,423,576,548,533
Tax %,35%,35%,24%,27%,26%,25%,24%,
Net Profit+,148,182,237,133,315,429,414,403
EPS in Rs,11.82,14.55,18.90,10.72,12.98,17.67,17.05,16.58
Dividend Payout %,-0%,-0%,21%,-0%,39%,51%,50%,
