Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,064","1,127","1,035","1,010","1,053","1,160","1,354","1,305","2,153","2,204","2,376","2,524","2,476"
Expenses+,895,993,909,892,952,"1,031","1,218","1,094","1,554","1,922","2,168","2,256","2,216"
Operating Profit,170,134,126,118,101,129,136,211,599,282,209,267,260
OPM %,16%,12%,12%,12%,10%,11%,10%,16%,28%,13%,9%,11%,10%
Other Income+,1,17,4,14,13,2,3,-3,24,-18,36,26,32
Interest,81,79,51,40,29,39,58,38,32,26,63,54,46
Depreciation,47,70,59,58,56,54,63,52,44,48,86,90,91
Profit before tax,43,3,20,35,29,38,18,118,547,190,96,150,154
Tax %,36%,-204%,44%,37%,34%,36%,32%,28%,25%,30%,27%,27%,
Net Profit+,27,8,11,22,19,24,12,85,409,132,70,109,113
EPS in Rs,1.93,0.56,0.80,1.53,1.35,1.69,0.87,6.37,30.79,9.93,5.54,8.60,8.86
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,12%,
