Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,428","2,317","2,632","1,681","2,236","1,796","2,164","1,862","2,304","1,654","1,528","2,307","2,432"
Expenses+,"1,061","1,745","1,950","1,158","1,651","1,261","1,336","1,079","1,684","1,071",999,"1,430","1,522"
Operating Profit,367,572,682,522,585,535,828,784,620,583,529,877,910
OPM %,26%,25%,26%,31%,26%,30%,38%,42%,27%,35%,35%,38%,37%
Other Income+,193,30,341,285,"1,020",175,108,162,119,43,61,161,278
Interest,186,201,235,238,264,293,424,346,356,345,286,384,385
Depreciation,163,170,168,166,174,180,197,190,200,205,217,216,219
Profit before tax,211,232,620,404,"1,167",237,314,409,183,77,87,439,584
Tax %,30%,30%,19%,21%,22%,31%,25%,25%,-28%,58%,51%,29%,22%
Net Profit+,149,162,505,318,910,165,236,307,235,32,43,312,457
EPS in Rs,3.51,3.19,11.68,6.66,21.23,2.90,3.49,5.80,4.46,0.41,0.58,6.79,9.99
Raw PDF,,,,,,,,,,,,,
