Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,808,754,829,783,776,803,834,743,822,854,894,883,968
Expenses+,742,678,732,709,714,731,753,686,744,791,809,825,882
Operating Profit,66,76,97,74,62,73,81,56,77,63,85,58,85
OPM %,8%,10%,12%,10%,8%,9%,10%,8%,9%,7%,10%,7%,9%
Other Income+,4,5,6,6,9,4,4,6,5,6,3,6,5
Interest,9,9,10,9,9,10,9,9,10,11,11,11,11
Depreciation,28,29,29,28,29,29,29,29,30,30,31,34,35
Profit before tax,32,43,64,42,32,38,48,24,43,28,46,20,45
Tax %,25%,23%,25%,23%,22%,23%,26%,23%,24%,23%,26%,22%,25%
Net Profit+,24,33,48,32,25,29,36,18,33,22,34,15,34
EPS in Rs,16.02,22.23,32.31,21.73,16.76,19.63,23.80,12.25,21.80,14.40,22.87,10.21,22.50
Raw PDF,,,,,,,,,,,,,
