Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,333,314,332,351,347,892,341,320,487,"1,438","5,017","4,938","5,009"
Expenses+,295,284,304,317,312,814,289,252,419,"1,207","4,149","5,079","5,505"
Operating Profit,38,31,28,33,35,78,52,68,68,231,868,-141,-496
OPM %,11%,10%,8%,10%,10%,9%,15%,21%,14%,16%,17%,-3%,-10%
Other Income+,14,14,7,13,110,19,9,4,7,11,82,"1,944","1,984"
Interest,38,30,24,32,58,54,50,108,189,223,226,186,155
Depreciation,12,10,11,12,14,14,15,42,70,81,115,147,150
Profit before tax,3,5,0,3,73,29,-4,-78,-184,-62,609,"1,470","1,183"
Tax %,117%,43%,229%,78%,25%,121%,14%,-12%,-14%,-2%,4%,41%,
Net Profit+,-0,3,-0,1,55,-6,-5,-69,-158,-61,586,874,634
EPS in Rs,-0.02,0.14,-0.01,0.03,2.24,-0.22,-0.20,-2.81,-5.98,-2.31,9.61,24.10,20.27
Dividend Payout %,-772%,110%,-582%,272%,4%,-46%,-51%,-4%,-2%,-4%,1%,0%,
