Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,438","1,641","1,573","1,494","1,798","1,835","1,682","1,743","1,713","1,667","1,864","1,707","1,787"
Expenses+,"1,297","1,367","1,305","1,262","1,557","1,572","1,477","1,517","1,487","1,453","1,619","1,415","1,573"
Operating Profit,141,274,269,231,240,263,205,225,226,214,245,292,214
OPM %,10%,17%,17%,15%,13%,14%,12%,13%,13%,13%,13%,17%,12%
Other Income+,5,8,7,11,15,14,18,15,11,15,19,20,17
Interest,20,19,22,32,35,40,49,47,46,35,3,31,25
Depreciation,78,78,80,89,89,90,96,92,92,93,90,93,83
Profit before tax,48,186,173,122,130,146,78,102,99,102,172,188,124
Tax %,22%,22%,24%,25%,31%,25%,24%,28%,16%,21%,22%,25%,27%
Net Profit+,37,144,131,91,90,109,59,74,83,80,133,140,91
EPS in Rs,0.07,0.28,0.25,0.18,0.18,0.21,0.11,0.14,0.16,0.16,0.26,0.27,0.18
Raw PDF,,,,,,,,,,,,,
