Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,116.00,162.32,173.92,111.77,135.11,175.77,194.28,127.92,151.11,222.92,219.03,158.68,175.98
Expenses+,84.74,106.86,131.89,77.34,105.55,121.54,149.44,88.54,116.60,150.43,160.39,109.73,133.87
Operating Profit,31.26,55.46,42.03,34.43,29.56,54.23,44.84,39.38,34.51,72.49,58.64,48.95,42.11
OPM %,26.95%,34.17%,24.17%,30.80%,21.88%,30.85%,23.08%,30.78%,22.84%,32.52%,26.77%,30.85%,23.93%
Other Income+,0.79,1.38,1.07,1.14,0.58,1.39,3.06,1.69,1.25,2.05,3.46,2.35,1.53
Interest,6.31,6.89,7.46,6.92,7.24,7.76,7.84,7.87,8.46,9.32,9.38,10.51,11.17
Depreciation,13.27,13.77,13.68,13.41,14.09,16.91,18.25,17.99,19.43,20.03,22.80,21.69,23.94
Profit before tax,12.47,36.18,21.96,15.24,8.81,30.95,21.81,15.21,7.87,45.19,29.92,19.10,8.53
Tax %,25.58%,25.48%,23.13%,19.49%,14.87%,22.10%,15.86%,24.98%,16.90%,23.90%,24.77%,23.14%,20.75%
Net Profit+,9.28,26.95,16.88,12.27,7.50,24.10,18.35,11.41,6.55,34.39,22.51,14.67,6.75
EPS in Rs,1.14,3.30,2.07,1.50,0.92,2.95,2.19,1.36,0.78,4.11,2.69,1.75,0.81
Raw PDF,,,,,,,,,,,,,
