Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,88.80,105.70,111.40,92.59,91.03,102.06,107.48,81.97,103.30,121.90,132.53,107.65,110.48
Expenses+,65.47,73.42,79.43,70.14,70.98,73.53,80.69,70.26,78.52,87.32,93.50,82.02,84.16
Operating Profit,23.33,32.28,31.97,22.45,20.05,28.53,26.79,11.71,24.78,34.58,39.03,25.63,26.32
OPM %,26.27%,30.54%,28.70%,24.25%,22.03%,27.95%,24.93%,14.29%,23.99%,28.37%,29.45%,23.81%,23.82%
Other Income+,2.51,1.39,4.41,1.00,2.09,4.57,3.52,0.96,0.48,0.67,1.09,0.32,4.80
Interest,4.77,5.08,4.75,4.59,4.70,4.77,3.10,3.69,4.51,4.56,4.25,3.70,3.64
Depreciation,5.50,5.83,5.79,5.78,6.01,6.03,6.22,6.78,8.13,8.82,9.40,8.45,8.54
Profit before tax,15.57,22.76,25.84,13.08,11.43,22.30,20.99,2.20,12.62,21.87,26.47,13.80,18.94
Tax %,29.03%,34.18%,30.30%,32.49%,31.23%,24.30%,21.39%,25.91%,33.60%,34.34%,32.49%,32.97%,32.79%
Net Profit+,8.05,15.53,20.74,7.39,4.37,18.56,19.33,-1.35,5.71,15.44,19.41,6.63,7.96
EPS in Rs,0.45,0.87,1.16,0.41,0.24,1.04,1.08,-0.08,0.32,0.86,1.09,0.37,0.45
Raw PDF,,,,,,,,,,,,,
