Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,135,126,109,86,89,107,83,73,91,91,77,65,91
Expenses+,82,80,69,51,55,67,57,46,61,66,50,41,56
Operating Profit,53,46,40,35,34,41,26,27,29,26,27,24,35
OPM %,39%,36%,37%,41%,39%,38%,31%,37%,32%,28%,35%,37%,39%
Other Income+,6,8,7,11,10,12,11,11,15,10,12,14,6
Interest,1,2,2,2,1,2,1,1,1,2,1,1,1
Depreciation,6,6,6,6,6,5,5,5,4,5,5,5,5
Profit before tax,52,47,39,39,38,45,31,32,39,29,33,32,35
Tax %,24%,26%,25%,26%,17%,2%,23%,25%,39%,20%,21%,21%,24%
Net Profit+,39,35,29,29,31,44,24,24,24,23,26,25,27
EPS in Rs,3.52,3.12,2.63,2.59,2.81,3.98,2.13,2.13,2.17,2.09,2.31,2.28,2.41
Raw PDF,,,,,,,,,,,,,
