Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,12,42,15,16,22,0,15,29,11,28,2,162,180
Expenses+,3,32,21,22,32,10,31,40,20,37,8,28,34
Operating Profit,9,10,-5,-7,-10,-10,-16,-11,-9,-9,-6,134,146
OPM %,75%,24%,-36%,-44%,-44%,,-109%,-37%,-81%,-34%,-337%,83%,81%
Other Income+,8,8,12,19,19,22,26,22,13,26,11,12,15
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,16,18,6,12,9,12,10,11,3,16,4,146,161
Tax %,21%,12%,43%,33%,-32%,21%,27%,51%,16%,42%,55%,25%,
Net Profit+,26,16,17,31,27,26,32,23,19,24,5,113,126
EPS in Rs,1.96,1.19,1.24,2.32,2.03,1.97,2.41,1.73,1.42,1.78,0.34,8.41,9.40
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
