Metric,Mar 201615m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,28,502,"1,480","2,058","2,549","3,124","5,133","7,792","9,220","11,212","12,221"
Expenses+,14,98,637,532,"1,098",883,"1,621","2,822","1,881","2,323","2,303"
Operating Profit,13,403,843,"1,526","1,450","2,241","3,512","4,970","7,339","8,889","9,918"
OPM %,48%,80%,57%,74%,57%,72%,68%,64%,80%,79%,81%
Other Income+,7,80,42,73,-111,385,507,667,"1,323","1,316",675
Interest,23,334,552,"1,121",995,"1,953","2,617","2,911","5,088","5,492","5,779"
Depreciation,6,333,543,"1,062",394,486,849,"1,300","1,903","2,498","2,882"
Profit before tax,-9,-184,-210,-585,-50,187,553,"1,426","1,671","2,215","1,932"
Tax %,3%,-75%,-35%,-19%,23%,6%,12%,32%,25%,10%,
Net Profit+,-9,-47,-138,-475,-68,182,489,973,"1,260","2,001","2,325"
EPS in Rs,-0.58,-0.37,-1.00,-3.03,-0.15,1.34,3.13,6.15,6.94,9.12,12.54
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
