Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,074","1,047","1,076","1,376","1,569","1,534","1,768","3,084","2,791","2,865","2,985","2,889"
Expenses+,988,966,957,"1,222","1,414","1,418","1,548","2,713","2,548","2,609","2,699","2,687"
Operating Profit,86,80,119,154,155,117,220,371,243,256,286,202
OPM %,8%,8%,11%,11%,10%,8%,12%,12%,9%,9%,10%,7%
Other Income+,1,2,2,3,6,30,4,15,18,28,19,16
Interest,26,19,11,12,19,17,19,19,15,7,20,20
Depreciation,30,29,28,31,44,49,47,48,72,107,124,108
Profit before tax,31,34,82,113,98,81,158,319,173,171,161,90
Tax %,31%,22%,13%,33%,26%,13%,20%,19%,28%,29%,29%,
Net Profit+,21,27,72,76,72,70,127,257,125,121,114,83
EPS in Rs,21.12,26.56,71.50,75.63,14.46,15.57,4.82,9.76,4.70,4.37,4.10,3.02
Dividend Payout %,0%,0%,0%,0%,0%,11%,10%,7%,11%,14%,12%,
