Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,51,56,55,60,72,101,124,70,88,80,67,61,60
Expenses+,47,53,54,58,68,96,124,71,91,85,70,64,62
Operating Profit,3,3,1,2,3,5,-0,-1,-3,-6,-3,-3,-3
OPM %,6%,5%,2%,3%,5%,4%,-0%,-1%,-4%,-7%,-4%,-5%,-5%
Other Income+,1,0,-2,0,1,0,1,2,34,-0,-3,-3,-3
Interest,1,1,3,4,5,5,6,6,4,4,2,2,3
Depreciation,1,1,2,2,2,4,7,5,4,5,3,3,3
Profit before tax,2,2,-6,-4,-3,-4,-12,-10,22,-15,-10,-12,-11
Tax %,-43%,20%,23%,15%,18%,-7%,2%,-31%,13%,15%,-0%,-0%,
Net Profit+,2,1,-7,-4,-3,-3,-12,-7,19,-17,-10,-12,-11
EPS in Rs,3.82,1.90,-10.54,-6.74,-5.04,-5.15,-11.34,-6.18,17.76,-15.43,-9.58,-11.14,-10.47
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
