Metric,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,495,548,548,744,829,"1,202","1,208",583,329,379,561,598,624
Expenses+,753,615,519,736,813,"1,139","1,149",641,366,435,527,533,569
Operating Profit,-258,-67,28,8,16,63,59,-58,-36,-56,34,64,55
OPM %,-52%,-12%,5%,1%,2%,5%,5%,-10%,-11%,-15%,6%,11%,9%
Other Income+,67,121,46,83,105,70,-15,12,-53,155,46,34,34
Interest,231,301,272,298,104,95,115,126,125,67,52,58,42
Depreciation,4,6,7,6,6,6,6,6,6,6,5,5,5
Profit before tax,-426,-253,-204,-213,11,31,-77,-178,-221,25,23,35,42
Tax %,3%,0%,0%,-35%,118%,3%,0%,1%,19%,119%,0%,29%,
Net Profit+,-506,-266,-204,-137,-2,31,-77,-179,-264,-5,23,25,33
EPS in Rs,-79.11,-21.32,-4.28,-1.02,-0.01,0.22,-0.55,-1.28,-1.88,-0.03,0.12,0.13,0.17
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
