Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,747","4,606","4,376","6,297","10,394","12,658","13,195","15,138","15,945"
Expenses+,"3,034","3,656","3,710","4,903","7,793","11,159","11,625","13,272","13,985"
Operating Profit,714,950,666,"1,394","2,601","1,499","1,570","1,866","1,959"
OPM %,19%,21%,15%,22%,25%,12%,12%,12%,12%
Other Income+,68,73,12,24,59,105,159,231,231
Interest,49,64,86,62,23,93,133,144,155
Depreciation,215,195,297,300,272,474,656,711,780
Profit before tax,517,764,295,"1,055","2,364","1,037",940,"1,241","1,256"
Tax %,-2%,17%,-15%,20%,27%,19%,-9%,27%,
Net Profit+,528,637,340,844,"1,724",843,"1,029",909,924
EPS in Rs,90.83,25.86,14.56,36.10,67.61,33.43,37.07,32.53,33.11
Dividend Payout %,0%,0%,0%,14%,7%,5%,12%,14%,
