Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,85,178,135,120,133,202,148,166,137,280,199,230,193
Expenses+,63,145,112,97,106,161,124,136,106,217,162,189,154
Operating Profit,23,33,23,22,27,41,24,30,31,63,36,41,38
OPM %,27%,18%,17%,19%,21%,20%,16%,18%,22%,22%,18%,18%,20%
Other Income+,8,7,-0,1,6,3,3,4,4,8,3,6,9
Interest,0,-0,-0,0,0,0,-0,0,0,0,0,0,0
Depreciation,2,2,2,1,1,2,2,1,2,2,2,2,2
Profit before tax,28,39,21,23,32,42,26,33,33,69,38,45,46
Tax %,32%,25%,21%,23%,26%,23%,31%,33%,33%,28%,38%,26%,31%
Net Profit+,19,29,16,17,23,32,18,22,22,50,23,34,31
EPS in Rs,1.70,2.62,1.48,1.58,2.19,3.04,1.66,2.06,2.07,4.66,2.16,3.15,2.78
Raw PDF,,,,,,,,,,,,,
