Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,364,368,420,706,"1,126","1,805","2,722","3,225"
Expenses+,328,325,378,611,956,"1,548","2,305","2,702"
Operating Profit,36,43,42,95,170,257,416,523
OPM %,10%,12%,10%,13%,15%,14%,15%,16%
Other Income+,2,1,4,4,11,56,106,115
Interest,20,25,25,27,36,56,106,108
Depreciation,5,8,10,13,19,25,45,60
Profit before tax,14,11,11,59,126,232,372,471
Tax %,28%,17%,10%,29%,24%,21%,21%,
Net Profit+,10,9,10,42,95,183,293,379
EPS in Rs,14.26,13.94,13.79,9.03,16.37,28.68,45.84,57.78
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
