Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,7.17,5.86,13.17,13.45,12.36,23.13,29.69,35.75,22.38,30.04,40.04,33.40,31.39
Expenses+,6.21,5.12,12.30,10.84,11.43,22.11,27.87,34.15,21.05,28.88,39.23,32.55,30.84
Operating Profit,0.96,0.74,0.87,2.61,0.93,1.02,1.82,1.60,1.33,1.16,0.81,0.85,0.55
OPM %,13.39%,12.63%,6.61%,19.41%,7.52%,4.41%,6.13%,4.48%,5.94%,3.86%,2.02%,2.54%,1.75%
Other Income+,0.06,0.46,0.53,0.14,0.10,0.10,0.17,0.80,0.15,0.10,0.49,0.31,3.11
Interest,0.15,0.21,0.15,0.16,0.15,0.16,0.12,0.07,0.04,0.04,0.04,0.04,0.04
Depreciation,0.22,0.25,0.26,0.28,0.30,0.37,0.41,0.41,0.43,0.43,0.40,0.38,0.35
Profit before tax,0.65,0.74,0.99,2.31,0.58,0.59,1.46,1.92,1.01,0.79,0.86,0.74,3.27
Tax %,20.00%,20.27%,20.20%,22.51%,20.69%,20.34%,17.81%,34.90%,31.68%,29.11%,17.44%,24.32%,
Net Profit+,0.52,0.59,0.78,1.79,0.47,0.48,1.21,1.24,0.70,0.56,0.71,0.56,2.79
EPS in Rs,0.32,0.36,0.48,1.10,0.29,0.29,0.74,0.76,0.43,0.34,0.44,0.34,1.71
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
