Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"61,765","60,557","52,053","48,552","54,496","76,190","72,518","57,372","92,770","145,668","133,228","141,903","144,125"
Expenses+,"53,777","54,926","47,517","42,531","46,695","66,252","63,495","50,127","77,608","138,168","118,914","126,410","130,291"
Operating Profit,"7,988","5,631","4,536","6,021","7,802","9,938","9,022","7,245","15,161","7,500","14,314","15,493","13,834"
OPM %,13%,9%,9%,12%,14%,13%,12%,13%,16%,5%,11%,11%,10%
Other Income+,"1,247",945,731,"1,212",948,"1,719","3,796","2,833","2,925","2,822","2,672","5,149","4,965"
Interest,669,652,822,509,295,159,309,179,202,365,719,748,798
Depreciation,"1,644","1,433","1,496","1,541","1,527","1,667","2,080","2,174","2,420","2,702","3,672","3,799","3,895"
Profit before tax,"6,922","4,492","2,949","5,183","6,928","9,831","10,429","7,725","15,464","7,256","12,595","16,096","14,106"
Tax %,32%,32%,37%,35%,31%,33%,9%,20%,20%,23%,21%,23%,
Net Profit+,"4,786","3,160","1,874","3,374","4,805","6,553","9,515","6,143","12,304","5,596","9,903","12,463","10,961"
EPS in Rs,7.07,4.67,2.76,4.98,7.09,9.68,13.93,9.21,18.40,8.54,15.06,18.93,16.60
Dividend Payout %,28%,24%,37%,56%,43%,25%,31%,36%,36%,59%,37%,40%,
