Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"5,157","6,094","7,052","6,793","7,489","9,318","10,586","10,733","10,357","10,782"
Expenses+,"4,429","5,105","6,134","5,493","6,028","7,814","9,375","9,109","8,984","9,086"
Operating Profit,728,989,918,"1,301","1,460","1,504","1,211","1,624","1,373","1,695"
OPM %,14%,16%,13%,19%,20%,16%,11%,15%,13%,16%
Other Income+,11,54,54,33,34,35,-393,33,19,23
Interest,231,425,457,419,664,570,512,533,496,457
Depreciation,313,392,498,528,794,918,951,919,869,870
Profit before tax,196,226,17,387,36,51,-645,206,27,392
Tax %,16%,30%,260%,36%,171%,37%,-102%,28%,18%,
Net Profit+,166,158,-26,249,-26,32,16,147,22,274
EPS in Rs,3.63,10.54,-1.32,10.28,-0.82,0.90,0.44,4.13,0.61,7.66
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
