Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,330,264,409,791,266,259,435,798,272,282,434,794,247
Expenses+,307,265,356,583,270,260,355,577,270,265,355,567,246
Operating Profit,22,-1,53,209,-4,-2,80,221,2,18,79,227,1
OPM %,7%,-0%,13%,26%,-2%,-1%,18%,28%,1%,6%,18%,29%,0%
Other Income+,3,67,4,11,74,3,5,669,11,28,0,8,4
Interest,2,3,4,8,4,4,5,7,4,4,5,6,4
Depreciation,14,13,20,13,15,16,21,15,15,17,19,17,18
Profit before tax,10,51,33,199,52,-19,58,868,-6,25,55,212,-17
Tax %,122%,40%,31%,27%,31%,-30%,18%,14%,-17%,37%,13%,26%,-12%
Net Profit+,-2,31,23,145,36,-13,48,747,-5,16,48,157,-15
EPS in Rs,-0.10,1.36,1.01,6.41,1.57,-0.58,2.11,31.08,-0.22,0.63,2.12,6.94,-0.66
Raw PDF,,,,,,,,,,,,,
