Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,3.31,4.80,11.77,17.55,21.40,24.96,37.74,55.85,63.23,77.93,79.97
Expenses+,3.17,4.55,10.21,15.51,18.33,21.49,31.88,46.31,52.11,63.09,64.79
Operating Profit,0.14,0.25,1.56,2.04,3.07,3.47,5.86,9.54,11.12,14.84,15.18
OPM %,4.23%,5.21%,13.25%,11.62%,14.35%,13.90%,15.53%,17.08%,17.59%,19.04%,18.98%
Other Income+,0.01,0.00,0.02,0.03,0.04,0.06,0.04,0.06,0.14,0.19,0.21
Interest,0.08,0.17,0.14,0.29,0.59,0.44,0.19,1.01,1.34,1.36,1.75
Depreciation,0.01,0.01,0.10,0.20,0.55,0.63,0.85,1.15,1.42,1.81,2.31
Profit before tax,0.06,0.07,1.34,1.58,1.97,2.46,4.86,7.44,8.50,11.86,11.33
Tax %,33.33%,28.57%,29.85%,32.28%,31.47%,21.54%,23.66%,27.28%,25.53%,30.52%,
Net Profit+,0.04,0.05,0.93,1.06,1.34,1.93,3.71,5.40,6.33,8.24,7.43
EPS in Rs,0.44,0.56,1.16,0.53,0.67,0.96,1.85,2.69,3.03,3.94,3.56
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,23.55%,0.00%,21.65%,18.59%,16.54%,15.25%,
