Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,132,96,84,60,56,86,99,169,205,215,134,152,147
Expenses+,115,91,86,54,59,86,88,149,186,186,113,130,126
Operating Profit,17,5,-2,6,-3,-0,11,20,20,29,21,21,21
OPM %,13%,5%,-2%,10%,-5%,-0%,11%,12%,10%,14%,16%,14%,14%
Other Income+,3,4,6,8,8,9,4,9,14,14,67,105,128
Interest,5,5,6,6,7,10,10,5,4,4,9,8,8
Depreciation,6,5,3,3,3,2,2,2,2,2,2,2,2
Profit before tax,9,-1,-5,5,-4,-4,3,22,27,37,77,116,140
Tax %,48%,269%,-13%,34%,46%,41%,-98%,25%,40%,23%,19%,21%,
Net Profit+,5,-3,-4,3,-7,-6,6,17,16,29,62,92,112
EPS in Rs,0.70,-0.44,-0.66,0.49,-1.10,-0.85,0.94,2.46,2.40,4.36,9.84,14.47,17.67
Dividend Payout %,36%,-57%,-8%,10%,-5%,-6%,21%,41%,42%,25%,11%,5%,
