Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,108,136,117,124,142,161,164,153,145,151,139,114,118
Expenses+,72,81,74,89,77,100,115,106,108,103,126,113,115
Operating Profit,37,55,42,35,65,61,49,47,37,48,14,0,3
OPM %,34%,41%,36%,28%,46%,38%,30%,31%,26%,32%,10%,0%,3%
Other Income+,4,4,4,3,3,5,-64,4,5,3,4,6,-33
Interest,1,1,1,1,2,1,1,1,1,2,2,1,1
Depreciation,1,1,1,1,1,4,1,2,4,3,3,4,5
Profit before tax,39,57,44,35,65,60,-17,47,37,46,12,1,-36
Tax %,27%,27%,30%,26%,27%,24%,-13%,28%,28%,26%,-13%,68%,1%
Net Profit+,28,42,31,26,47,46,-15,34,27,34,14,0,-36
EPS in Rs,0.08,0.12,0.09,0.07,0.13,0.13,-0.04,0.09,0.07,0.09,0.04,0.00,-0.09
Raw PDF,,,,,,,,,,,,,
